id,rtt_ms,jitter_ms
1149,0.2755,0.007099
1150,0.247599,0.027901
1151,0.230799,0.0168
1152,0.2575,0.026701
1153,0.281799,0.024299
1154,0.508899,0.2271
1155,0.629099,0.1202
1156,0.354099,0.275
1157,0.264099,0.09
1158,0.3094,0.045301
1159,0.307699,0.001701
1160,0.2533,0.054399
1161,0.289999,0.036699
1162,0.402899,0.1129
1163,0.276599,0.1263
1164,0.357999,0.0814
1165,0.391399,0.0334
1166,0.341299,0.0501
1167,0.339699,0.0016
1168,0.381799,0.0421
1169,0.339799,0.042
1170,0.414599,0.0748
1171,0.692099,0.2775
1172,0.704198,0.012099
1173,0.458499,0.245699
1174,0.356899,0.1016
1175,0.400599,0.0437
1176,0.334599,0.066
1177,0.507299,0.1727
1178,0.507798,0.000499
1179,0.424499,0.083299
1180,0.393999,0.0305
1181,0.251799,0.1422
1182,0.322399,0.0706
1183,0.361899,0.0395
1184,0.323999,0.0379
1185,0.270699,0.0533
1186,0.277799,0.0071
1187,0.368599,0.0908
1188,0.523799,0.1552
1189,0.389399,0.1344
1190,0.2925,0.096899
1191,0.343999,0.051499
1192,0.314199,0.0298
1193,0.308899,0.0053
1194,0.304299,0.0046
1195,0.2481,0.056199
1196,0.265299,0.017199
1197,0.419799,0.1545
1198,0.319899,0.0999
1199,0.3136,0.006299
1200,0.280999,0.032601
1201,0.2626,0.018399
1202,0.268399,0.005799
1203,0.480499,0.2121
1204,0.552398,0.071899
1205,0.361699,0.190699
1206,0.415999,0.0543
1207,0.2577,0.158299
1208,0.288599,0.030899
1209,0.316999,0.0284
1210,0.270099,0.0469
1211,0.2775,0.007401
1212,0.2711,0.0064
1213,0.291099,0.019999
1214,0.2976,0.006501
1215,0.255699,0.041901
1216,0.242399,0.0133
1217,0.2522,0.009801
1218,0.233599,0.018601
1219,0.230799,0.0028
1220,0.485399,0.2546
1221,0.466398,0.019001
1222,0.599598,0.1332
1223,0.282699,0.316899
1224,0.306599,0.0239
1225,0.242499,0.0641
1226,0.255599,0.0131
1227,0.2777,0.022101
1228,0.247499,0.030201
1229,0.2755,0.028001
1230,0.26,0.0155
1231,0.2189,0.0411
1232,0.254999,0.036099
1233,0.297699,0.0427
1234,0.264399,0.0333
1235,0.205299,0.0591
1236,0.2548,0.049501
1237,0.465299,0.210499
1238,0.495799,0.0305
1239,0.572599,0.0768
1240,0.2936,0.278999
1241,0.273799,0.019801
1242,0.2736,0.000199
1243,0.260599,0.013001
1244,0.326499,0.0659
